URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
37,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,0.09,0.162,-0.9925,,,,,,,,,,
38,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,0.095,0.04,0.7184,,,,,,,,,,
39,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,0.151,0.175,-0.967,,,,,,,,,,
40,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,0.042,0.166,-0.9861,,,,,,,,,,
41,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,0.111,0.199,-0.9955,,,,,,,,,,
42,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,0.113,0.187,-0.9899,,,,,,,,,,
43,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,0.036,0.0,0.4939,,,,,,,,,,
44,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,0.163,0.053,0.9776,,,,,,,,,,
45,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,0.138,0.198,-0.9893,,,,,,,,,,
46,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,0.189,0.153,0.8779,,,,,,,,,,
47,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,0.047,0.172,-0.9971,,,,,,,,,,
48,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,0.077,0.199,-0.9967,,,,,,,,,,
49,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,0.124,0.163,-0.9863,,,,,,,,,,
50,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,0.152,0.145,0.6476,,,,,,,,,,
51,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,0.18,0.159,0.7424,,,,,,,,,,
52,https://insights.blackcoffer.com/ai-tool-alexa-google-assistant-finance-banking-tool-future/,0.137,0.101,0.9889,,,,,,,,,,
53,https://insights.blackcoffer.com/ai-healthcare-revolution-ml-technology-algorithm-google-analytics-industrialrevolution/,0.102,0.16,-0.9552,,,,,,,,,,
54,https://insights.blackcoffer.com/all-you-need-to-know-about-online-marketing/,0.137,0.16,-0.979,,,,,,,,,,
55,https://insights.blackcoffer.com/evolution-of-advertising-industry/,0.187,0.161,0.9577,,,,,,,,,,
56,https://insights.blackcoffer.com/how-data-analytics-can-help-your-business-respond-to-the-impact-of-covid-19/,0.1,0.146,-0.9188,,,,,,,,,,
57,https://insights.blackcoffer.com/covid-19-environmental-impact-for-the-future/,0.0,0.0,0.0,,,,,,,,,,
58,https://insights.blackcoffer.com/environmental-impact-of-the-covid-19-pandemic-lesson-for-the-future/,0.193,0.219,-0.9747,,,,,,,,,,
59,https://insights.blackcoffer.com/how-data-analytics-and-ai-are-used-to-halt-the-covid-19-pandemic/,0.106,0.188,-0.998,,,,,,,,,,
60,https://insights.blackcoffer.com/difference-between-artificial-intelligence-machine-learning-statistics-and-data-mining/,0.121,0.14,-0.941,,,,,,,,,,
61,https://insights.blackcoffer.com/how-python-became-the-first-choice-for-data-science/,0.135,0.165,-0.9382,,,,,,,,,,
62,https://insights.blackcoffer.com/how-google-fit-measure-heart-and-respiratory-rates-using-a-phone/,0.158,0.046,0.9983,,,,,,,,,,
63,https://insights.blackcoffer.com/what-is-the-future-of-mobile-apps/,0.107,0.144,-0.9744,,,,,,,,,,
64,https://insights.blackcoffer.com/impact-of-ai-in-health-and-medicine/,0.108,0.22,-0.9982,,,,,,,,,,
65,https://insights.blackcoffer.com/telemedicine-what-patients-like-and-dislike-about-it/,0.231,0.126,0.946,,,,,,,,,,
66,https://insights.blackcoffer.com/how-we-forecast-future-technologies/,0.037,0.043,-0.4019,,,,,,,,,,
67,https://insights.blackcoffer.com/can-robots-tackle-late-life-loneliness/,0.1,0.13,-0.9455,,,,,,,,,,
68,https://insights.blackcoffer.com/embedding-care-robots-into-society-socio-technical-considerations/,0.213,0.052,0.9993,,,,,,,,,,
69,https://insights.blackcoffer.com/management-challenges-for-future-digitalization-of-healthcare-services/,0.114,0.096,0.8105,,,,,,,,,,
70,https://insights.blackcoffer.com/are-we-any-closer-to-preventing-a-nuclear-holocaust/,0.193,0.084,0.9884,,,,,,,,,,
71,https://insights.blackcoffer.com/will-technology-eliminate-the-need-for-animal-testing-in-drug-development/,0.129,0.157,-0.8504,,,,,,,,,,
72,https://insights.blackcoffer.com/will-we-ever-understand-the-nature-of-consciousness/,0.096,0.116,-0.6747,,,,,,,,,,
73,https://insights.blackcoffer.com/will-we-ever-colonize-outer-space/,0.067,0.168,-0.9646,,,,,,,,,,
74,https://insights.blackcoffer.com/what-is-the-chance-homo-sapiens-will-survive-for-the-next-500-years/,0.075,0.167,-0.8731,,,,,,,,,,
75,https://insights.blackcoffer.com/why-does-your-business-need-a-chatbot/,0.088,0.199,-0.9325,,,,,,,,,,
